FileTimestamp;Rows
2013-04-03;2027

SettlementStatus;PaymentType;PaymentMethod;TransactionID;UniqueID;ShortID;ChannelName;CustomerCountry;Valuedate;RequestTimestamp;Brand;Separator;Credit Trn Amount;Debit Trn Amount;Trn Ccy;Separator;Gross Funding Amount;Separator;Net Funding Amount;Funding Ccy;Separator;Total Fees;Fee Ccy;Settlement Account;Separator;Acq Fx;Separator;Settlement Fx;Separator;Settlement Amt;Settlement ccy
ACK;RG;CC;97556_moneybookerspsp_cc;8a8394823c6ce408013c938b3f3517f0;3651.0905.9858;USD;US ;2013-02-01;2013-02-01 02:17:21;AMEX;2;0;000;XXX;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;RI;RM;97556_moneybookerspsp_cc;8a8394823c6ce408013c938b40641800;1843.8488.9106;USD;US ;2013-02-01;2013-02-01 02:17:22;TD;2;0;000;XXX;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;CF;CC;97556_moneybookerspsp_cc;8a8394823c6ce408013c938b3fb817fb;7341.4070.2994;USD;US ;2013-02-01;2013-02-01 02:17:22;AMEX;2;0;000;XXX;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;DB;CC;24229_moneybookerspsp_cc;8a8394833c6ce22c013c938b68c80975;4370.4976.2066;USD;US ;2013-02-01;2013-02-01 02:17:32;AMEX;2;0;4800;USD;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;RI;RM;24229_moneybookerspsp_cc;8a8394833c6ce22c013c938b6bb40981;5744.8871.5538;USD;US ;2013-02-01;2013-02-01 02:17:33;TD;2;0;000;XXX;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;RI;RM;97562_moneybookerspsp_cc;8a8394883c6ce40f013c939817911b29;6455.5700.2514;USD;US ;2013-02-01;2013-02-01 02:31:23;TD;2;0;000;XXX;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;RG;CC;97562_moneybookerspsp_cc;8a8394883c6ce40f013c939816621b19;2332.4014.2098;USD;US ;2013-02-01;2013-02-01 02:31:23;AMEX;2;0;000;XXX;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;CF;CC;97562_moneybookerspsp_cc;8a8394883c6ce40f013c939817241b24;5081.1804.9042;USD;US ;2013-02-01;2013-02-01 02:31:23;AMEX;2;0;000;XXX;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;DB;CC;24230_moneybookerspsp_cc;8a83948a3c6ce40d013c9398417f120e;6015.3358.7730;USD;US ;2013-02-01;2013-02-01 02:31:33;AMEX;2;0;2800;USD;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;RI;RM;24230_moneybookerspsp_cc;8a83948a3c6ce40d013c939843c9121a;0517.7777.3842;USD;US ;2013-02-01;2013-02-01 02:31:35;TD;2;0;000;XXX;2;000;4;00000;;4;;;;6;;6;;2;;
